depot_id,depot_name,state,zone,code,route_id,route_desc,bus_stop_id,distance,stop_name,street_name,latitude,longitude
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,1.0,TITIWANGSA - BKT BINTANG via KG BARU,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,2.0,KL SENTRAL - MALURI,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,3.0,MALURI - TITIWANGSA via KLCC,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,4.0,JLN SULTAN MOHD - PARLIMEN,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,5.0,PINGGIRAN BT CAVES - CHOW KIT,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,6.0,GREENWOOD - CHOW KIT,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,7.0,BDR BARU SELAYANG - CHOW KIT,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,10.0,TMN JASA UTAMA - CHOW KIT,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,11.0,SEGAMBUT DALAM - CHOW KIT,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,13.0,PINGGIRAN BT CAVES - CHOW KIT via TMN BATU MUDA,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,14.0,MANJALARA - CHOW KIT,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,17.0,SRI SEGAMBUT/JINJANG SELATAN - CHOW KIT,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,20.0,TMN DATO SENU - TITIWANGSA via BB SENTUL,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,21.0,SG MAS - TMN MASTIARA,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,105.0,PASARAMAKOTA - BANGSAR PARK,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,132.0,TERMINAL BUS TITIWANGSA - MATRADE,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,137.0,JINJANG UTARA - LEBUH AMPANG,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,138.0,TMN DATO SENU - KOTARAYA,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,168.0,Pinggiran Batu Caves - Pasar Seni,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,178.0,PURPLE LINE(Pasar Seni ~ Bukit Bintang),,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,184.0,PASAR SENI - BANGKOK BANK - BUKIT BINTANG,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,185.0,MENARA KL - PAVILION - BUKIT BINTANG,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,191.0,SEWA KHAS SENTUL,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,450.0,GREENWOOD-KG.NAKHODA,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,458.0,Hab Wira Damai ~ Lebuh Ampang,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,459.0,Hub Wira Damai ~ Lebuh Ampang via Sentul,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,460.0,Taman Greenwood ~ Chow Kit ,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,461.0,Taman Jasa Utama ~ Lebuh Ampang,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,462.0,Bandar Dato' Senu ~ Pasar Seni,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,463.0,Segambut Dalam ~ Lin Ho Jln Lekiu,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,466.0,Hub Wira Damai ~ Lebuh Ampang via Gombak,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,476.0,Titiwangsa ~ KLCC,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,494.0,Pudu Sentral ~ Terminal Bersepadu Selatan,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,512.0,BANGSAR PARK ~ PASAR SENI,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,514.0,Pasar Seni ~ Kompleks Mahkamah Jalan Duta,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,515.0,Titiwangsa ~ Solaris Dutamas,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,524.0,KLCC ~ Bukit Bintang,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,529.0,Pasar Seni ~ Bukit Bintang,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,532.0,Kompleks Sungai Mas ~ Taman Mastiara,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,533.0,Taman Dato' Senu ~ Stesen KTM Sentul ~ Stesen LRT Sentul Timur,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,534.0,Taman Sri Segambut ~ KTM Segambut,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,539.0,Kampung Nakhoda ~ Taman Greenwood,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,601.0,Bas yang disewakan khas untuk kegunaan lain,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,640.0,Selayang Mutiara ~ LRT Gombak (2way: 54km),,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,644.0,Terminal Bas Jln Tun Razak ~ Bukit Bintang,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,645.0,Terminal Bas Jln Tun Razak ~ KL Sentral,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,711.0,Pantai Hill Park ~ Pasar Seni,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,746.0,KL SENTRAL-RAJA CHULAN,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,747.0,HANG TUAH-RAJA CHULAN,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,748.0,CHOW KIT-RAJA CHULAN,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,749.0,KL SENTRAL-RAJA CHULAN,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,751.0,Taman Sri Segambut~Medan Pasar,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,809.0,KTM Sentul - KL Sentral,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,810.0,KTM SENTUL - LRT SENTUL,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,825.0,Pasar Seni - Batu Caves,,,,,,
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,830.0,LRT Gombak - Batu Caves,,,,,,
