depot_id,depot_name,state,zone,code,route_id,route_desc,bus_stop_id,distance,stop_name,street_name,latitude,longitude,geolocation
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,1.0,TITIWANGSA - BKT BINTANG via KG BARU,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,2.0,KL SENTRAL - MALURI,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,3.0,MALURI - TITIWANGSA via KLCC,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,4.0,JLN SULTAN MOHD - PARLIMEN,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,5.0,PINGGIRAN BT CAVES - CHOW KIT,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,6.0,GREENWOOD - CHOW KIT,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,7.0,BDR BARU SELAYANG - CHOW KIT,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,10.0,TMN JASA UTAMA - CHOW KIT,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,11.0,SEGAMBUT DALAM - CHOW KIT,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,13.0,PINGGIRAN BT CAVES - CHOW KIT via TMN BATU MUDA,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,14.0,MANJALARA - CHOW KIT,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,17.0,SRI SEGAMBUT/JINJANG SELATAN - CHOW KIT,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,20.0,TMN DATO SENU - TITIWANGSA via BB SENTUL,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,21.0,SG MAS - TMN MASTIARA,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,105.0,PASARAMAKOTA - BANGSAR PARK,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,132.0,TERMINAL BUS TITIWANGSA - MATRADE,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,137.0,JINJANG UTARA - LEBUH AMPANG,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,138.0,TMN DATO SENU - KOTARAYA,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,168.0,Pinggiran Batu Caves - Pasar Seni,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,178.0,PURPLE LINE(Pasar Seni ~ Bukit Bintang),,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,184.0,PASAR SENI - BANGKOK BANK - BUKIT BINTANG,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,185.0,MENARA KL - PAVILION - BUKIT BINTANG,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,191.0,SEWA KHAS SENTUL,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,450.0,GREENWOOD-KG.NAKHODA,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,458.0,Hab Wira Damai ~ Lebuh Ampang,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,459.0,Hub Wira Damai ~ Lebuh Ampang via Sentul,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,460.0,Taman Greenwood ~ Chow Kit,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,461.0,Taman Jasa Utama ~ Lebuh Ampang,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,462.0,Bandar Dato' Senu ~ Pasar Seni,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,463.0,Segambut Dalam ~ Lin Ho Jln Lekiu,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,466.0,Hub Wira Damai ~ Lebuh Ampang via Gombak,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,476.0,Titiwangsa ~ KLCC,,,,,,,POINT EMPTY
1,Sentul,Selangor/Kuala Lumpur,RKL,STL,494.0,Pudu Sentral ~ Terminal Bersepadu Selatan,,,,,,,POINT EMPTY
