route_id,route_no,route_no_cbts,route_origin,route_destination,route_type,route_category,route_service,route_corridor,route_name,route_desc,route_dist_in,route_dist_out,state_id,depot_id,status,freq_min,freq_max,total_km,km_per_trip,travel_time,deadmileage,line_id,zone,pis_profile
1,B103,XB1030,,,0,Normal,RAPID,,NONAME,TITIWANGSA - BKT BINTANG via KG BARU,,,1,1,5,0.0,0.0,15.2,,0.0,,,0,
2,B112,XB1120,,,0,Normal,RAPID,,NONAME,KL SENTRAL - MALURI,,,1,1,5,0.0,0.0,19.3,,0.0,,,0,
3,B114,XB1140,,,0,Normal,RAPID,,NONAME,MALURI - TITIWANGSA via KLCC,,,1,1,5,0.0,0.0,22.8,,0.0,,,0,
4,B115,XB1150,,,0,Normal,RAPID,,NONAME,JLN SULTAN MOHD - PARLIMEN,,,1,1,5,0.0,0.0,18.5,,0.0,,,0,
5,U1,XU0010,,,UTAMA,Normal,RAPID,,NONAME,PINGGIRAN BT CAVES - CHOW KIT,,,1,1,5,0.0,0.0,33.6,,0.0,,,0,
6,U2,XU0020,,,UTAMA,Normal,RAPID,,NONAME,GREENWOOD - CHOW KIT,,,1,1,5,0.0,0.0,23.6,,0.0,,,0,
7,U3,XU0030,,,UTAMA,Normal,RAPID,,NONAME,BDR BARU SELAYANG - CHOW KIT,,,1,1,5,0.0,0.0,46,,0.0,,,0,
8,U4,XU0040,,,UTAMA,Normal,RAPID,,NONAME,DESA AMAN PURI - CHOW KIT,,,1,9,5,0.0,0.0,35.6,,0.0,,,0,
9,U5,XU0050,,,UTAMA,Normal,RAPID,,NONAME,LRT MELATI/ TMN MELATI - CHOW KIT,,,1,3,5,0.0,0.0,24.3,,0.0,,,0,
10,U6,XU0060,,,UTAMA,Normal,RAPID,,NONAME,TMN JASA UTAMA - CHOW KIT,,,1,1,5,0.0,0.0,43,,0.0,,,0,
11,U7,XU0070,,,UTAMA,Normal,RAPID,,NONAME,SEGAMBUT DALAM - CHOW KIT,,,1,1,5,0.0,0.0,27.3,,0.0,,,0,
12,U8,XU0080,,,UTAMA,Normal,RAPID,,NONAME,DAMANSARA DAMAI - CHOW KIT,,,1,9,5,0.0,0.0,39.8,,0.0,,,0,
13,U10,XU0100,,,UTAMA,Normal,RAPID,,NONAME,PINGGIRAN BT CAVES - CHOW KIT via TMN BATU MUDA,,,1,1,5,0.0,0.0,34.8,,0.0,,,0,
14,U11,XU0110,,,UTAMA,Normal,RAPID,,NONAME,MANJALARA - CHOW KIT,,,1,1,5,0.0,0.0,35.2,,0.0,,,0,
15,U12,XU0120,,,UTAMA,Normal,RAPID,,NONAME,"BATU 12, GOMBAK - CHOW KIT",,,1,3,5,0.0,0.0,38.5,,0.0,,,0,
16,U13,XU0130,,,UTAMA,Normal,RAPID,,NONAME,TMN EHSAN - CHOW KIT,,,1,9,5,0.0,0.0,38.2,,0.0,,,0,
17,U14,XU0140,,,UTAMA,Normal,RAPID,,NONAME,SRI SEGAMBUT/JINJANG SELATAN - CHOW KIT,,,1,1,5,0.0,0.0,25.7,,0.0,,,0,
18,U201,XU2010,,,UTAMA,Normal,RAPID,,NONAME,BATU 12 GOMBAK - BATU 5 GOMBAK,,,1,3,5,0.0,0.0,30.3,,0.0,,,0,
19,T205,XT2050,,,TEMPATAN,Normal,RAPID,,NONAME,LRT TAMAN MELATI - TMN SETAPAK/IBUKOTA/DANAU KOTA/ TMN SETAPAK INDAH/T,,,1,3,5,0.0,0.0,10.8,,0.0,,,0,
20,T223,XT2230,,,TEMPATAN,Normal,RAPID,,NONAME,TMN DATO SENU - TITIWANGSA via BB SENTUL,,,1,1,5,0.0,0.0,12.3,,0.0,,,0,
21,T225,XT2250,,,TEMPATAN,Normal,RAPID,,NONAME,SG MAS - TMN MASTIARA,,,1,1,5,0.0,0.0,9.3,,0.0,,,0,
23,T229,XT2290,,,TEMPATAN,Normal,RAPID,,NONAME,METRO PRIMA - BDR BARU SELAYANG,,,1,9,5,0.0,0.0,24.9,,0.0,,,0,
24,T231,XT2310,,,TEMPATAN,Normal,RAPID,,NONAME,UIA - LRT TERMINAL PUTRA,,,1,3,5,0.0,0.0,12.6,,0.0,,,0,
25,U20,XU0200,,,UTAMA,Normal,RAPID,,NONAME,TMN MELAWATI - CHOW KIT,,,1,3,5,0.0,0.0,33.8,,0.0,,,0,
26,U21,XU0210,,,UTAMA,Normal,RAPID,,NONAME,AU3 JENTAYU - KLCC via KELOMPOK,,,1,3,5,0.0,0.0,36.4,,0.0,,,0,
27,U23,XU0230,,,UTAMA,Normal,RAPID,,NONAME,TMN MELAWATI - CHOW KIT via MINDEF,,,1,3,5,0.0,0.0,39.9,,0.0,,,0,
28,U24,XU0240,,,UTAMA,Normal,RAPID,,NONAME,"SEK 2, WANGSA MAJU - CHOW KIT via UNITAR",,,1,3,5,0.0,0.0,25.6,,0.0,,,0,
29,U25,XU0250,,,UTAMA,Normal,RAPID,,NONAME,"SEK 10, WANGSA MAJU - CHOW KIT via SETAPAK JAYA",,,1,3,5,0.0,0.0,22.8,,0.0,,,0,
30,U26,XU0260,,,UTAMA,Normal,RAPID,,NONAME,BKT INDAH - KLCC via AMPANG JAYA,,,1,4,5,0.0,0.0,24.1,,0.0,,,0,
31,U27,XU0270,,,UTAMA,Normal,RAPID,,NONAME,SRI NILAM - BUKIT BINTANG via JLN KUARI,,,1,4,5,0.0,0.0,37.1,,0.0,,,0,
