route_busstop_id,depot,route_id,route_no,line_id,bus_stop_id,stop_id,order,stop_category,border,hub_stop,ride_zone,alight_zone,entering_angle,distance,popular,municipal,dr,dt_created
1384,5,484,452,U452002,1606.0,1001609,1,,N,N,1,1,270.0,0,,,1,2020-03-09 11:10:44
1385,5,484,452,U452002,108.0,1000108,2,,N,N,1,1,269.0,500,,,1,2020-03-09 11:10:44
1386,5,484,452,U452002,3847.0,1003854,3,,N,N,1,1,349.0,2000,,,1,2020-03-09 11:10:44
1387,5,484,452,U452002,1714.0,1001717,4,,N,N,1,1,338.0,2400,,,1,2020-03-09 11:10:44
1388,5,484,452,U452002,3308.0,1003313,5,,N,N,1,1,342.0,2700,,,1,2020-03-09 11:10:44
1389,5,484,452,U452002,1337.0,1001339,6,,N,N,1,1,318.0,3400,,,1,2020-03-09 11:10:44
1390,5,484,452,U452002,3131.0,1003136,7,,N,N,1,1,330.0,3800,,,1,2020-03-09 11:10:44
1391,5,484,452,U452002,3903.0,1003911,8,,N,N,1,1,327.0,5400,,,1,2020-03-09 11:10:44
1392,5,484,452,U452002,4059.0,1004067,9,,N,N,1,1,332.0,6400,,,1,2020-03-09 11:10:44
1393,5,484,452,U452002,606.0,1000607,10,,N,N,1,1,333.0,6800,,,1,2020-03-09 11:10:44
1394,5,484,452,U452002,1312.0,1001314,11,,N,N,1,1,334.0,7200,,,1,2020-03-09 11:10:44
1395,5,484,452,U452002,3311.0,1003316,12,,N,N,1,1,331.0,7700,,,1,2020-03-09 11:10:44
1396,5,484,452,U452002,2742.0,1002747,13,,Y,N,2,1,340.0,8700,,,1,2020-03-09 11:10:44
1397,5,484,452,U452002,1285.0,1001287,14,,Y,N,2,1,298.0,9500,,,1,2020-03-09 11:10:44
1398,5,484,452,U452002,4004.0,1004012,15,,N,N,2,2,304.0,10800,,,1,2020-03-09 11:10:44
1399,5,484,452,U452002,2186.0,1002190,16,,N,N,2,2,308.0,11300,,,1,2020-03-09 11:10:44
1400,5,484,452,U452002,1549.0,1001552,17,,N,N,2,2,301.0,11900,,,1,2020-03-09 11:10:44
1401,5,484,452,U452002,952.0,1000954,18,,N,N,2,2,294.0,12900,,,1,2020-03-09 11:10:44
1402,5,484,452,U452002,3359.0,1003364,19,,N,N,2,2,312.0,14100,,,1,2020-03-09 11:10:44
1403,5,484,452,U452002,3970.0,1003978,20,,N,N,2,2,279.0,14250,,,1,2020-03-09 11:10:44
1404,5,484,452,U452002,4086.0,1004094,21,,N,N,2,2,281.0,14440,,,1,2020-03-09 11:10:44
1405,5,484,452,U452002,1361.0,1001363,22,,N,N,2,2,310.0,14580,,,1,2020-03-09 11:10:44
1406,5,484,452,U452002,2022.0,1002026,23,,Y,N,3,2,288.0,14700,,,1,2020-03-09 11:10:44
1407,5,484,452,U452002,4259.0,1004267,24,,N,N,3,3,280.0,16000,,,1,2020-03-09 11:10:44
1408,5,484,452,U452002,1747.0,1001750,25,,N,N,3,3,279.0,17400,,,1,2020-03-09 11:10:44
1409,5,484,452,U452002,1618.0,1001621,26,,Y,N,4,3,316.0,18700,,,1,2020-03-09 11:10:44
1410,5,484,452,U452002,2110.0,1002114,27,,Y,N,4,3,341.0,20200,,,1,2020-03-09 11:10:44
1411,5,484,452,U452002,3526.0,1003531,28,,Y,N,5,4,25.0,22800,,,1,2020-03-09 11:10:44
1412,5,484,452,U452002,1744.0,1001747,29,,Y,N,6,5,344.0,23300,,,1,2020-03-09 11:10:44
1413,5,484,452,U452002,2817.0,1002822,30,,Y,N,7,6,325.0,23700,,,1,2020-03-09 11:10:44
1414,5,484,452,U452002,817.0,1000819,31,,Y,N,7,6,340.0,24200,,,1,2020-03-09 11:10:44
1415,5,484,452,U452002,781.0,1000783,32,,N,N,7,7,353.0,24700,,,1,2020-03-09 11:10:44
1416,5,484,452,U452002,3665.0,1003671,33,,N,N,7,7,8.0,24900,,,1,2020-03-09 11:10:44
1417,5,484,452,U452002,1805.0,1001808,34,,N,N,7,7,328.0,25400,,,1,2020-03-09 11:10:44
1418,5,484,452,U452002,1203.0,1001205,35,,N,N,7,7,328.0,25700,,,1,2020-03-09 11:10:44
1419,5,484,452,U452002,1523.0,1001526,36,,N,N,7,7,293.0,26100,,,1,2020-03-09 11:10:44
1420,5,484,452,U452002,1641.0,1001644,37,,N,N,7,7,304.0,26700,,,1,2020-03-09 11:10:44
1421,5,484,452,U452002,1067.0,1001069,38,,N,N,7,7,307.0,27200,,,1,2020-03-09 11:10:44
1422,5,484,452,U452002,2289.0,1002293,39,,Y,N,8,7,308.0,27600,,,1,2020-03-09 11:10:44
1423,5,484,452,U452002,1843.0,1001846,40,,Y,N,8,7,314.0,28000,,,1,2020-03-09 11:10:44
1424,5,484,452,U452002,250.0,1000250,41,,Y,N,8,7,350.0,28800,,,1,2020-03-09 11:10:44
1425,5,484,452,U452002,946.0,1000948,42,,N,N,8,8,300.0,29900,,,1,2020-03-09 11:10:44
1426,5,484,452,U452002,2077.0,1002081,43,,N,N,8,8,131.0,30700,,,1,2020-03-09 11:10:44
1427,5,484,452,U452001,2077.0,1002081,1,,N,N,8,8,131.0,0,,,2,2020-03-09 11:10:44
1428,5,484,452,U452001,932.0,1000934,2,,N,N,8,8,120.0,400,,,2,2020-03-09 11:10:44
1429,5,484,452,U452001,951.0,1000953,3,,N,N,8,8,120.0,1000,,,2,2020-03-09 11:10:44
1430,5,484,452,U452001,3920.0,1003928,4,,Y,N,7,8,170.0,1600,,,2,2020-03-09 11:10:44
1431,5,484,452,U452001,1844.0,1001847,5,,Y,N,7,8,134.0,2100,,,2,2020-03-09 11:10:44
1432,5,484,452,U452001,2282.0,1002286,6,,Y,N,7,8,128.0,2800,,,2,2020-03-09 11:10:44
1433,5,484,452,U452001,853.0,1000855,7,,N,N,7,7,127.0,3200,,,2,2020-03-09 11:10:44
1434,5,484,452,U452001,1033.0,1001035,8,,N,N,7,7,127.0,3700,,,2,2020-03-09 11:10:44
1435,5,484,452,U452001,665.0,1000666,9,,N,N,7,7,124.0,4200,,,2,2020-03-09 11:10:44
1436,5,484,452,U452001,1204.0,1001206,10,,N,N,7,7,148.0,5000,,,2,2020-03-09 11:10:44
1437,5,484,452,U452001,276.0,1000276,11,,N,N,7,7,188.0,5700,,,2,2020-03-09 11:10:44
1438,5,484,452,U452001,2244.0,1002248,12,,N,N,7,7,173.0,6100,,,2,2020-03-09 11:10:44
1439,5,484,452,U452001,1720.0,1001723,13,,N,N,7,7,163.0,6500,,,2,2020-03-09 11:10:44
1440,5,484,452,U452001,3480.0,1003485,14,,Y,N,6,7,137.0,8100,,,2,2020-03-09 11:10:44
1441,5,484,452,U452001,486.0,1000486,15,,N,N,6,6,163.0,8500,,,2,2020-03-09 11:10:44
1442,5,484,452,U452001,1745.0,1001748,16,,Y,N,5,6,164.0,9000,,,2,2020-03-09 11:10:44
