depot_id,ttl_td_id,ttl_captain_id,ttl_point_a,ttl_point_b,max_diff_minutes_from_point_a,max_diff_minutes_idle_mode,max_diff_minutes_to_point_a,min_diff_minutes_from_point_a,min_diff_minutes_idle_mode,min_diff_minutes_to_point_a,avg_diff_minutes_from_point_a,avg_diff_minutes_idle_mode,avg_diff_minutes_to_point_a,med_diff_minutes_from_point_a,med_diff_minutes_idle_mode,med_diff_minutes_to_point_a,max_speed,min_speed,avg_speed,med_speed,ttl_td_completed,WaktuSebelumProblem,WaktuSebelumInspection,WaktuDiambikUtkRepair,labelencoded,busencoded,point_aencoded,point_bencoded,line_id_yencoded,br_idencoded,br_repair_statusencoded,br_entry_statusencoded,line_id_x_en,rtd_cause_en,br_ttl_days_en,rtd_id_en,route_id_en,bus_model_id_en,driver_id_en,capt_id_en,newlabel_en,prediction_label,prediction_score
5,16,1,1,1,77.78333,59.116665,88.066666,54.733334,0.0,64.76667,63.208332,20.866667,74.4,60.158333,1.1,72.38333,31.0,5.0,14.625,16.0,16.0,0.0,0.0,0.0,2,111,88,101,143,-1,-1,-1,143,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,34,1,1,1,6.5333333,53.783333,69.0,4.6666665,0.33333334,57.333332,5.5333333,17.972918,61.179165,5.6666665,12.833333,59.991665,27.0,1.0,10.44,11.0,34.0,0.0,0.0,0.0,2,369,37,101,147,-1,-1,-1,147,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
2,36,2,1,1,41.0,52.0,47.983334,29.5,2.5,29.0,34.331482,18.918627,39.546295,34.0,12.0,41.0,29.0,1.0,17.434782,16.0,36.0,0.0,0.0,0.0,2,525,19,90,117,-1,-1,-1,117,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,46,4,1,1,31.0,64.0,45.5,24.0,1.5,28.5,25.623611,15.25,31.133333,25.0,9.75,30.0,44.0,3.0,21.644444,20.0,46.0,0.0,0.0,0.0,2,243,13,59,35,-1,-1,-1,35,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
2,32,2,1,1,58.0,45.75,60.0,37.0,2.0,37.0,47.747917,16.476667,52.16875,48.25,9.5,54.991665,24.0,1.0,10.4,10.5,32.0,0.0,0.0,0.0,2,499,22,66,118,-1,-1,-1,118,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
2,32,2,1,1,41.0,59.65,58.5,35.5,2.0,36.483334,36.625,21.94111,44.183334,35.5,4.5,41.491665,48.0,5.0,22.846153,23.0,32.0,0.0,0.0,0.0,2,519,39,51,120,-1,-1,-1,120,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,28,1,1,1,55.0,42.683334,84.21667,35.983334,0.5,39.5,45.852383,13.426923,48.440475,47.0,1.5,43.933334,33.0,1.0,18.666666,18.0,28.0,0.0,0.0,0.0,2,310,43,37,37,-1,-1,-1,37,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,16,1,1,1,69.0,61.1,72.0,59.0,8.0,60.5,61.5,31.27619,66.125,59.0,10.0,66.0,57.0,3.0,20.333334,16.0,16.0,0.0,0.0,0.0,2,375,12,94,81,-1,-1,-1,81,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
2,12,1,1,1,111.01667,59.933334,100.066666,70.35,17.883333,79.98333,91.91111,33.176666,87.69444,94.36667,30.05,83.03333,25.0,6.0,13.333333,12.5,12.0,0.0,0.0,0.0,2,90,104,90,158,-1,-1,-1,158,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
2,8,1,1,1,101.45,0.0,98.683334,67.48333,0.0,93.46667,84.46667,0.0,96.075,84.46667,0.0,96.075,34.0,17.0,24.0,23.0,8.0,0.0,0.0,0.0,3,165,112,64,116,-1,-1,-1,116,1,-1,513,112,10,418,-1,1,1,1.0
